image_name,label
ROI_1000_MrtSutthisan_img_13-7967041_100-5728563_a101_s90_y75_f90_0.jpg,Sedan
ROI_1000_img_13-7638696_100-5378675_a116-8034745_s206-8034745_y0_f90_1.jpg,Sedan
ROI_1001_MrtSutthisan_img_13-7967041_100-5728563_a101_s90_y75_f90_0.jpg,Sedan
ROI_1001_img_13-7638696_100-5378675_a116-8034745_s26-803474499999993_y0_f90_1.jpg,Sedan
ROI_1002_img_13-7638696_100-5378675_a116-8034745_s26-803474499999993_y0_f90_1.jpg,SUV
ROI_1003_MrtSutthisan_img_13-7813423_100-569404_a183_s270_y75_f90_0.jpg,NA
ROI_1003_img_13-7638696_100-5378675_a116-8034745_s26-803474499999993_y0_f90_1.jpg,NA
ROI_1004_MrtSutthisan_img_13-7813423_100-569404_a183_s270_y75_f90_0.jpg,NA
ROI_1004_img_13-7639164_100-5538904_a200-0144276_s110-01442759999998_y0_f90_1.jpg,Hatchback
ROI_1005_MrtSutthisan_img_13-7816157_100-5736872_a169_s270_y75_f90_0.jpg,Sedan
ROI_1005_img_13-7639164_100-5538904_a200-0144276_s110-01442759999998_y0_f90_1.jpg,NA
ROI_1006_MrtSutthisan_img_13-7816157_100-5736872_a169_s270_y75_f90_0.jpg,Sedan
ROI_1006_MrtSutthisan_img_13-7970521_100-5701702_a77_s90_y75_f90_0.jpg,Sedan
ROI_1006_MrtSutthisan_img_13-7981271_100-570414_a249_s270_y75_f90_0.jpg,NA
ROI_1006_img_13-7639164_100-5538904_a200-0144276_s290-0144276_y0_f90_1.jpg,Sedan
ROI_1006_img_13-7679055_100-6188431_a81-32279028_s351-32279028_y0_f90_1.jpg,Pickup
ROI_1007_MrtSutthisan_img_13-7816157_100-5736872_a169_s270_y75_f90_0.jpg,Sedan
ROI_1007_MrtSutthisan_img_13-7970521_100-5701702_a77_s90_y75_f90_0.jpg,NA
ROI_1007_MrtSutthisan_img_13-7981271_100-570414_a249_s270_y75_f90_0.jpg,Pickup
ROI_1007_img_13-7058944078374_100-406268442284_s90_f90_y0_1_06-2021.jpg,Hatchback
ROI_1007_img_13-7639164_100-5538904_a200-0144276_s290-0144276_y0_f90_1.jpg,Sedan
